                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                          70                          98     -0.1362416373000000E+04      0.1176000000000000E-02     -0.1359074598818613E+04      0.2049607533906181E-06
                          70                          99     -0.1369283417000000E+04      0.1183000000000000E-02     -0.1368437069127295E+04      0.1869078810921093E-06
                          70                         100     -0.1377741039000000E+04      0.1000000000000000E-05     -0.1371840439520551E+04      0.2011965099735991E-06
                          70                         101     -0.1384355331000000E+04      0.1000000000000000E-05     -0.1381202909829233E+04      0.1742777940809986E-06
                          70                         102     -0.1392375297000000E+04      0.1000000000000000E-05     -0.1391869356946013E+04      0.2066120201335970E-06
                          70                         103     -0.1398742380000000E+04      0.1000000000000000E-05     -0.1393968750531172E+04      0.1838642631733965E-06
                          70                         104     -0.1406206887000000E+04      0.1000000000000000E-05     -0.1404635197647952E+04      0.2209417948212521E-06
                          70                         105     -0.1412029384000000E+04      0.1000000000000000E-05     -0.1406734591233110E+04      0.2126840598211664E-06
                          70                         106     -0.1418896469000000E+04      0.1000000000000000E-05     -0.1417401038349890E+04      0.2508727781190033E-06
                          70                         107     -0.1424462730000000E+04      0.1770000000000000E-03     -0.1426763508658572E+04      0.2184621429053447E-06
                          70                         108     -0.1431243207000000E+04      0.9967999999999999E-02     -0.1430166879051828E+04      0.2916404450185489E-06
                          70                         109     -0.1436092509000000E+04      0.1790000000000000E+00     -0.1439529349360510E+04      0.2584758684143569E-06
                          70                         110     -0.1442317509000000E+04      0.3600000000000000E+00     -0.1450195796477290E+04      0.2940865768315824E-06
                          70                         111     -0.1446893509000000E+04      0.3620000000000000E+00     -0.1452295190062448E+04      0.3064130635098270E-06
                          70                         112     -0.1452705509000000E+04      0.3640000000000000E+00     -0.1462961637179229E+04      0.3409685288733144E-06
                          70                         113     -0.1457029509000000E+04      0.3660000000000000E+00     -0.1465061030764386E+04      0.3591145787817014E-06
                          70                         114     -0.1462601509000000E+04      0.5520000000000000E+00     -0.1475727477881167E+04      0.3924631001237017E-06
                          70                         115     -0.1466482509000000E+04      0.5550000000000000E+00     -0.1485089948189849E+04      0.3614951639207802E-06
                          71                          79     -0.1179353807000000E+04      0.3000000000000000E+00     -0.1198923647879881E+04      0.4026976997059540E-06
                          71                          80     -0.1192956807000000E+04      0.3020000000000000E+00     -0.1209590094996661E+04      0.3353253857582165E-06
                          71                          81     -0.1204355807000000E+04      0.1520000000000000E+00     -0.1218952565305343E+04      0.4077255834875717E-06
                          71                          82     -0.1217341517000000E+04      0.1500930000000000E+00     -0.1229619012422123E+04      0.3402923668905112E-06
