                      Radius                ground state               first excited              second excited
      0.6210526315789425E+01     -0.4885801989194986E+02     -0.4545465735532525E+02     -0.3986010020523528E+02
      0.6230576441102707E+01     -0.4886482122532379E+02     -0.4548152786832049E+02     -0.3991925402734422E+02
      0.6250626566415990E+01     -0.4887156207475668E+02     -0.4550816239487109E+02     -0.3997790032378364E+02
      0.6270676691729273E+01     -0.4887824315390298E+02     -0.4553456366652241E+02     -0.4003604474971151E+02
      0.6290726817042556E+01     -0.4888486516590517E+02     -0.4556073437581721E+02     -0.4009369288428869E+02
      0.6310776942355838E+01     -0.4889142880367363E+02     -0.4558667717699795E+02     -0.4015085023186818E+02
      0.6330827067669121E+01     -0.4889793474996017E+02     -0.4561239468660844E+02     -0.4020752222313445E+02
      0.6350877192982404E+01     -0.4890438367761961E+02     -0.4563788948416411E+02     -0.4026371421621960E+02
      0.6370927318295687E+01     -0.4891077624974395E+02     -0.4566316411273966E+02     -0.4031943149781100E+02
      0.6390977443608969E+01     -0.4891711311982802E+02     -0.4568822107960948E+02     -0.4037467928426305E+02
      0.6411027568922252E+01     -0.4892339493194547E+02     -0.4571306285679731E+02     -0.4042946272261261E+02
      0.6431077694235535E+01     -0.4892962232090163E+02     -0.4573769188169612E+02     -0.4048378689168876E+02
      0.6451127819548818E+01     -0.4893579591242413E+02     -0.4576211055765513E+02     -0.4053765680313518E+02
      0.6471177944862101E+01     -0.4894191632326690E+02     -0.4578632125448681E+02     -0.4059107740239763E+02
      0.6491228070175383E+01     -0.4894798416139312E+02     -0.4581032630907176E+02     -0.4064405356974633E+02
      0.6511278195488666E+01     -0.4895400002614619E+02     -0.4583412802587625E+02     -0.4069659012128007E+02
      0.6531328320801949E+01     -0.4895996450833480E+02     -0.4585772867749547E+02     -0.4074869180986510E+02
      0.6551378446115232E+01     -0.4896587819043550E+02     -0.4588113050515197E+02     -0.4080036332609010E+02
      0.6571428571428514E+01     -0.4897174164671760E+02     -0.4590433571923458E+02     -0.4085160929923017E+02
      0.6591478696741797E+01     -0.4897755544336179E+02     -0.4592734649978438E+02     -0.4090243429813345E+02
      0.6611528822055080E+01     -0.4898332013861457E+02     -0.4595016499698904E+02     -0.4095284283215612E+02
      0.6631578947368363E+01     -0.4898903628291144E+02     -0.4597279333167314E+02     -0.4100283935204168E+02
      0.6651629072681645E+01     -0.4899470441902150E+02     -0.4599523359576742E+02     -0.4105242825078805E+02
      0.6671679197994928E+01     -0.4900032508216268E+02     -0.4601748785277828E+02     -0.4110161386454568E+02
      0.6691729323308211E+01     -0.4900589880011512E+02     -0.4603955813822341E+02     -0.4115040047341123E+02
      0.6711779448621494E+01     -0.4901142609338914E+02     -0.4606144646014104E+02     -0.4119879230233237E+02
      0.6731829573934776E+01     -0.4901690747529457E+02     -0.4608315479944623E+02     -0.4124679352185505E+02
      0.6751879699248059E+01     -0.4902234345208201E+02     -0.4610468511041713E+02     -0.4129440824897862E+02
      0.6771929824561342E+01     -0.4902773452304242E+02     -0.4612603932110879E+02     -0.4134164054792979E+02
      0.6791979949874625E+01     -0.4903308118066776E+02     -0.4614721933377734E+02     -0.4138849443096698E+02
      0.6812030075187907E+01     -0.4903838391071393E+02     -0.4616822702527585E+02     -0.4143497385912740E+02
      0.6832080200501190E+01     -0.4904364319232779E+02     -0.4618906424745968E+02     -0.4148108274298538E+02
      0.6852130325814473E+01     -0.4904885949813857E+02     -0.4620973282756353E+02     -0.4152682494339266E+02
      0.6872180451127756E+01     -0.4905403329440718E+02     -0.4623023456864104E+02     -0.4157220427224229E+02
      0.6892230576441039E+01     -0.4905916504106958E+02     -0.4625057124988475E+02     -0.4161722449312751E+02
      0.6912280701754321E+01     -0.4906425519189090E+02     -0.4627074462702094E+02     -0.4166188932211659E+02
      0.6932330827067604E+01     -0.4906930419454235E+02     -0.4629075643271699E+02     -0.4170620242841300E+02
      0.6952380952380887E+01     -0.4907431249067763E+02     -0.4631060837686028E+02     -0.4175016743502381E+02
      0.6972431077694170E+01     -0.4907928051608805E+02     -0.4633030214698908E+02     -0.4179378791948081E+02
      0.6992481203007452E+01     -0.4908420870071971E+02     -0.4634983940857865E+02     -0.4183706741446040E+02
      0.7012531328320735E+01     -0.4908909746882659E+02     -0.4636922180542762E+02     -0.4188000940845802E+02
      0.7032581453634018E+01     -0.4909394723904030E+02     -0.4638845095998361E+02     -0.4192261734643905E+02
      0.7052631578947301E+01     -0.4909875842446026E+02     -0.4640752847364408E+02     -0.4196489463043859E+02
      0.7072681704260583E+01     -0.4910353143273586E+02     -0.4642645592711786E+02     -0.4200684462021366E+02
      0.7092731829573866E+01     -0.4910826666615036E+02     -0.4644523488071170E+02     -0.4204847063382532E+02
      0.7112781954887149E+01     -0.4911296452172274E+02     -0.4646386687466448E+02     -0.4208977594828234E+02
      0.7132832080200432E+01     -0.4911762539126995E+02     -0.4648235342943170E+02     -0.4213076380007099E+02
      0.7152882205513714E+01     -0.4912224966149930E+02     -0.4650069604601952E+02     -0.4217143738580911E+02
      0.7172932330826997E+01     -0.4912683771408843E+02     -0.4651889620624083E+02     -0.4221179986276045E+02
      0.7192982456140280E+01     -0.4913138992575669E+02     -0.4653695537303512E+02     -0.4225185434942309E+02
      0.7213032581453563E+01     -0.4913590666834203E+02     -0.4655487499073462E+02     -0.4229160392607801E+02
      0.7233082706766846E+01     -0.4914038830890205E+02     -0.4657265648537834E+02     -0.4233105163536039E+02
      0.7253132832080128E+01     -0.4914483520973509E+02     -0.4659030126492813E+02     -0.4237020048273695E+02
      0.7273182957393411E+01     -0.4914924772849783E+02     -0.4660781071959427E+02     -0.4240905343710179E+02
      0.7293233082706694E+01     -0.4915362621827435E+02     -0.4662518622209164E+02     -0.4244761343125337E+02
      0.7313283208019977E+01     -0.4915797102761842E+02     -0.4664242912786982E+02     -0.4248588336241442E+02
